code,name,sector
000683,博源化工,C26化学原料和化学制品制造业
000685,中山公用,D46水的生产和供应业
000686,东北证券,J67资本市场服务
000688,国城矿业,B09有色金属矿采选业
000690,宝新能源,D44电力、热力生产和供应业
000691,亚太实业,C26化学原料和化学制品制造业
000692,惠天热电,D44电力、热力生产和供应业
000695,滨海能源,C30非金属矿物制品业
000697,炼石航空,C37铁路、船舶、航空航天和其他运输设备制造业
000698,ST沈化,C26化学原料和化学制品制造业
000700,模塑科技,C36汽车制造业
000701,厦门信达,F51批发业
000702,正虹科技,C13农副食品加工业
000703,恒逸石化,C28化学纤维制造业
000705,浙江震元,F51批发业
000707,双环科技,C26化学原料和化学制品制造业
000708,中信特钢,C31黑色金属冶炼和压延加工业
000709,河钢股份,C31黑色金属冶炼和压延加工业
000710,贝瑞基因,M74专业技术服务业
000711,ST京蓝,C42废弃资源综合利用业
000712,锦龙股份,J67资本市场服务
000713,国投丰乐,A05农、林、牧、渔专业及辅助性活动
000715,中兴商业,F52零售业
000716,黑芝麻,C14食品制造业
000717,中南股份,C31黑色金属冶炼和压延加工业
000718,苏宁环球,K70房地产业
000719,中原传媒,R86新闻和出版业
000720,新能泰山,C38电气机械和器材制造业
000721,西安饮食,H62餐饮业
000722,湖南发展,D44电力、热力生产和供应业
000723,美锦能源,C25石油、煤炭及其他燃料加工业
000725,京东方A,C39计算机、通信和其他电子设备制造业
000726,鲁泰A,C17纺织业
000727,冠捷科技,C39计算机、通信和其他电子设备制造业
000728,国元证券,J67资本市场服务
000729,燕京啤酒,C15酒、饮料和精制茶制造业
000731,四川美丰,C26化学原料和化学制品制造业
000733,振华科技,C39计算机、通信和其他电子设备制造业
000735,罗牛山,A03畜牧业
000736,中交发展,K70房地产业
000737,北方铜业,C32有色金属冶炼和压延加工业
000738,航发控制,C37铁路、船舶、航空航天和其他运输设备制造业
000739,普洛药业,C27医药制造业
000750,国海证券,J67资本市场服务
000751,锌业股份,C32有色金属冶炼和压延加工业
000752,*ST西发,C15酒、饮料和精制茶制造业
000753,漳州发展,F52零售业
000755,山西高速,G54道路运输业
000756,新华制药,C27医药制造业
000757,浩物股份,F52零售业
000758,中色股份,B09有色金属矿采选业
000759,中百集团,F52零售业
000761,本钢板材,C31黑色金属冶炼和压延加工业
000762,西藏矿业,B09有色金属矿采选业
000766,通化金马,C27医药制造业
000767,晋控电力,D44电力、热力生产和供应业
000768,中航西飞,C37铁路、船舶、航空航天和其他运输设备制造业
000776,广发证券,J67资本市场服务
000777,中核科技,C34通用设备制造业
000778,新兴铸管,C33金属制品业
000779,甘咨询,M74专业技术服务业
000782,恒申新材,C28化学纤维制造业
000783,长江证券,J67资本市场服务
000785,居然智家,L72商务服务业
000786,北新建材,C30非金属矿物制品业
000788,北大医药,C27医药制造业
000789,万年青,C30非金属矿物制品业
000790,华神科技,C27医药制造业
000791,甘肃能源,D44电力、热力生产和供应业
000792,盐湖股份,C26化学原料和化学制品制造业
000793,*ST华闻,R86新闻和出版业
000795,英洛华,C30非金属矿物制品业
000796,凯撒旅业,L72商务服务业
000797,中国武夷,K70房地产业
000798,中水渔业,A04渔业
000799,酒鬼酒,C15酒、饮料和精制茶制造业
000800,一汽解放,C36汽车制造业
000801,四川九洲,C39计算机、通信和其他电子设备制造业
000802,500沪市,R87广播、电视、电影和录音制作业
000803,山高环能,N77生态保护和环境治理业
000805,A股资源,未映射
000806,消费服务,未映射
000807,食品饮料,C32有色金属冶炼和压延加工业
000808,医药生物,未映射
000809,和展能源,C38电气机械和器材制造业
000810,创维数字,C39计算机、通信和其他电子设备制造业
000811,冰轮环境,C34通用设备制造业
000812,陕西金叶,C23印刷和记录媒介复制业
000813,德展健康,C27医药制造业
000814,细分医药,未映射
000815,美利云,C22造纸和纸制品业
000816,智慧农业,C34通用设备制造业
000818,航锦科技,C26化学原料和化学制品制造业
000819,有色金属,C25石油、煤炭及其他燃料加工业
000820,*ST节能,M74专业技术服务业
000821,ST京机,C35专用设备制造业
000822,山东海化,C26化学原料和化学制品制造业
000823,中证800有色,C39计算机、通信和其他电子设备制造业
000825,太钢不锈,C31黑色金属冶炼和压延加工业
000826,*ST启环,N78公共设施管理业
000828,东莞控股,G54道路运输业
000829,天音控股,F51批发业
000830,鲁西化工,C26化学原料和化学制品制造业
000831,中国稀土,C32有色金属冶炼和压延加工业
000833,粤桂股份,S91综合
000837,秦川机床,C34通用设备制造业
000838,*ST发展,K70房地产业
000839,国安股份,I65软件和信息技术服务业
000848,承德露露,C15酒、饮料和精制茶制造业
000850,华茂股份,C17纺织业
000852,石化机械,C35专用设备制造业
000856,冀东装备,C35专用设备制造业
000858,五粮液,C15酒、饮料和精制茶制造业
000859,国风新材,C29橡胶和塑料制品业
000860,顺鑫农业,C15酒、饮料和精制茶制造业
000862,银星能源,D44电力、热力生产和供应业
000863,三湘印象,K70房地产业
000868,安凯客车,C36汽车制造业
000869,张裕A,C15酒、饮料和精制茶制造业
000875,电投绿能,D44电力、热力生产和供应业
000876,新希望,C13农副食品加工业
000877,天山股份,C30非金属矿物制品业
000878,云南铜业,C32有色金属冶炼和压延加工业
000880,潍柴重机,C34通用设备制造业
000881,中广核技,C26化学原料和化学制品制造业
000882,华联股份,L72商务服务业
000883,湖北能源,D44电力、热力生产和供应业
000885,城发环境,N77生态保护和环境治理业
000886,海南高速,G54道路运输业
000887,中鼎股份,C29橡胶和塑料制品业
000888,峨眉山A,N78公共设施管理业
000889,中嘉博创,I65软件和信息技术服务业
000890,法尔胜,C33金属制品业
000892,欢瑞世纪,R87广播、电视、电影和录音制作业
000893,亚钾国际,C26化学原料和化学制品制造业
000895,双汇发展,C13农副食品加工业
000897,津滨发展,K70房地产业
000898,鞍钢股份,C31黑色金属冶炼和压延加工业
000899,赣能股份,D44电力、热力生产和供应业
000900,现代投资,G54道路运输业
000901,航天科技,C36汽车制造业
000902,新洋丰,C26化学原料和化学制品制造业
000903,ST云动,C34通用设备制造业
000905,厦门港务,F51批发业
000906,浙商中拓,L72商务服务业
000908,景峰医药,C27医药制造业
000909,*ST数源,K70房地产业
000910,大亚圣象,C20木材加工和木、竹、藤、棕、草制品业
000911,*ST广糖,C13农副食品加工业
000912,泸天化,C26化学原料和化学制品制造业
000913,钱江摩托,C37铁路、船舶、航空航天和其他运输设备制造业
000915,华特达因,C27医药制造业
000917,电广传媒,I63电信、广播电视和卫星传输服务
000919,金陵药业,C27医药制造业
000920,沃顿科技,C26化学原料和化学制品制造业
000921,海信家电,C38电气机械和器材制造业
000922,佳电股份,C38电气机械和器材制造业
000923,河钢资源,B08黑色金属矿采选业
000925,众合科技,C37铁路、船舶、航空航天和其他运输设备制造业
000926,福星股份,K70房地产业
000927,中国铁物,L72商务服务业
000928,中钢国际,E48土木工程建筑业
000929,兰州黄河,C15酒、饮料和精制茶制造业
000930,中粮科技,C26化学原料和化学制品制造业
000931,中关村,C27医药制造业
000932,华菱钢铁,C31黑色金属冶炼和压延加工业
000933,神火股份,C32有色金属冶炼和压延加工业
000935,四川双马,C30非金属矿物制品业
000936,华西股份,C28化学纤维制造业
000937,冀中能源,B06煤炭开采和洗选业
000938,紫光股份,C39计算机、通信和其他电子设备制造业
000948,南天信息,I65软件和信息技术服务业
000949,新乡化纤,C28化学纤维制造业
000950,重药控股,F51批发业
000951,中国重汽,C36汽车制造业
000952,广济药业,C27医药制造业
000953,中哲精化,C27医药制造业
000955,欣龙控股,C17纺织业
000957,中通客车,C36汽车制造业
000958,电投产融,D44电力、热力生产和供应业
000959,银河99,C31黑色金属冶炼和压延加工业
000960,锡业股份,C32有色金属冶炼和压延加工业
000962,东方钽业,C32有色金属冶炼和压延加工业
000963,华东医药,F52零售业
000965,天保基建,K70房地产业
000966,长源电力,D44电力、热力生产和供应业
000967,盈峰环境,C35专用设备制造业
000968,蓝焰控股,B07石油和天然气开采业
000969,安泰科技,C33金属制品业
